"Type ID","Component type","Behaviour / variants","Prototype examples","Original section numbers","Recommended iPart / approach","Assigned iPart","Notes"
"T01","Standard data table","Column headings and data rows; sorting, filtering, paging, export, row links and optional status badges. Different datasets use the same type.","Cases; Method History; Open Invoices; Active Adjustments; Employment History; Communication Log; attendance and audit tables","9; 10; 20; 24; 26; 27; 29; 32; 34; 36; 37; 38; 45; 47","Query Menu (IQA report) with the implemented us-report theme component. Add filter-toggle and expanded-view modifiers as needed. The shared header action slot is available; named business-action injection remains planned (T14). Confirm source data and access for audit/login reports.","","Theme CSS class: us-report. Optional: us-filters-collapsible; us-filters-collapsed (requires the toggle class); us-report-expandable. Include zUnionSuite.js once. See THeme/UnionSuite/README.md."
"T02","Data table with expandable row details","A normal table with a control in a row that reveals associated detail rows, such as failed payment attempts.","Recent Payments; Payment History","12; 23","Query Template Display with a table/detail template and shared expansion JS for the prototype behaviour. Retain Query Menu only if its configured grid supports the required detail interaction. Custom rendering requires separate paging/filter/export work if those features are needed.","",""
"T03","Field summary","A single record presented as label/value pairs, with optional links, badges or tags. Compact, multi-column, address and sidebar treatments are variants.","Contact Summary; Membership Summary; Personal Details; Address; Demographics & Attributes; Active Payment Method; sidebar member facts","3; 7; 8; 14; 18; 21; 28; 40","Panel Editor when the fields and native editing fit. Query Template Display for combined/derived fields or exact custom markup. Keep payment-method changes in the native management workflow; address presentation may reuse an available native address iPart.","",""
"T04","Metric / tracker","Value with a label and optional subtitle or status colour; no separate panel header. Counts, currency, dates and short text are variants.","Summary trackers; Finance trackers","6; 22","Progress Tracker for supported numeric metrics. Query Template Display for dates, text values or richer subtitle requirements.","",""
"T05","Formatted repeating list","Repeated items with custom content rather than table columns. Variants include note cards, contact/document rows, pinned items, tags and a timeline.","Pinned Notes; Notes; Email Addresses; Phone Numbers; Attached Documents; Staff Interactions; custom attribute tags","11; 16; 17; 21; 31; 33; 44","Query Template Display with reusable item templates for each variant. Connect item actions to existing supported workflows; use T14 for supported panel-header actions. Use T15 when combining items from multiple independent queries into one chronological feed.","",""
"T06","Expandable record cards","Repeated compact card summaries that expand to reveal fields or responses. The card summary replaces a table row.","Current Employment job cards; Survey response cards","19; 39","Query Template Display with reusable summary/detail templates and shared expansion JS. Job and survey content differ, but the expansion pattern is shared.","",""
"T07","Record banner","Prominent record identity, status and facts, with optional actions and responsive arrangement.","Member profile banner","1","Query Template Display with custom banner HTML and member-context data, using theme tokens. Actions can share the central action registry through a separately verified banner adapter.","","Banner CSS: THeme/UnionSuite/zUnionSuite.css, with separate page-layout and component sections. Sticky/collapse and Actions behaviour: THeme/UnionSuite/zUnionSuite.js, shared with reports. Banner iPart classes: us-banner (normal); us-banner us-banner-sticky (sticky expanded); us-banner us-banner-collapsible (sticky and condensing). Collapsible includes sticky. Optional page class: us-banner-page for full width using native gutters. Supports Query Template Display and static Content HTML. After deploying and loading the updated theme CSS/JS, remove old standalone banner includes, keep the visible HTML and verify scrolling and partial updates. The prototype script/embed are generated legacy fallbacks only. Usage guide and live five-seed editor: THeme/UnionSuite/Usage-Guide.html. Zone tab switching is deferred."
"T08","Section navigation","Switches between content sections. Horizontal tabs and the sidebar navigation are presentation variants; content access remains native.","Side navigation; Profile, Finance, Activity, Engagement and Admin tab buttons","4; 13; 25; 30; 35; 43","Content Collection Organizer with themed tabs where supported. Validate its capabilities before adapting the sidebar navigation; the layout owns sidebar placement.","",""
"T09","Conditional alert","Condition-driven message with status styling and optional workflow actions or dismissal.","Resignation pending; overdue payment alert","5","Alerts / Notification Sets with custom display HTML where needed. Route actions through supported workflows and define dismissal behaviour explicitly.","",""
"T10","Grouped section container","One shared card/header around multiple iParts, with child card decoration and redundant titles suppressed.","Contact Details grouping email and phone iParts; optional Demographics & Attributes grouping","15; 21","Layout wrapper plus zone title/classes; this is composition rather than a data iPart. Account for the zone title being outside WebPartZone. Child iParts select their own data types. Use T15 when the group also needs to merge and sort individual records across queries.","",""
"T11","Standalone action menu / action area","An action dropdown or explanatory action block without a report body. Menu, branch transfer and destructive-action presentation are variants.","Banner Actions dropdown; Transfer / Change Branch; Resign Membership","2; 41; 42","Content HTML for the action structure, or Query Template Display when record context must be shown. Shared JS invokes verified native workflows. Menu behaviour is a separate adapter from the initial report-header injector.","",""
"T12","Native account management","Operational account/security controls with a field/row presentation; native capabilities determine which actions are available.","Member Portal Login and account controls","46","Native account/security-management iParts or links to supported administration pages, depending on available features. Theme their presentation; use native reset/manage flows.","",""
"T13","Confirmation dialog","Confirmation step for a workflow action, with confirm/cancel and appropriate completion handling.","Confirm Resignation","48","Existing iMIS workflow page/popup and its native confirmation. Add a custom dialog only if the supported workflow requires it.","",""
"T14","Header action enhancement","Optional buttons/links alongside an existing component title. This supplements a data type; it does not require a second data iPart or a separate table type.","Cases: Create Case; Jobs: Add Job; Notes: Add Note; report View all / View history links","7; 9; 10; 11; 12; 19; 28; 31; 33; 34; 44","Shared report header action slot and button/text-link styles are implemented in zUnionSuite.css and zUnionSuite.js. The class-driven business-action registry and verified handlers remain planned. Named us-action-* classes do not inject working business buttons yet.","",""
"T15","Combined activity feed","Combines cards from separate queries into one chronological list with a shared header, month groups, loaded-item filters, counts and optional expansion.","Recent activity: Calls; Emails; Notes; Meetings; SMS","","One Query Template Display per source in a dedicated zone. Feed CSS and assembly remain planned additions to zUnionSuite.css and zUnionSuite.js. Use source/record identity, type and timestamp metadata; filter and limit each query before rendering. Initial scope: bounded recent activity plus a full-history link.","","Planned, not implemented. See THEME-ACTIVITY-FEED.md. Supplied after the original 48-section mapping, so no original section number is assigned. Full-history search, true totals and combined paging require additional data-loading work."
