"Number","Area","Section","Contents","Recommended iPart / approach","Assigned iPart","Notes"
"1","Shared","Banner","Member identity, badges and key facts","Query Template Display with custom banner HTML and member-context IQA data.","",""
"2","Shared","Banner Actions dropdown","Communication, record and membership actions","Content HTML with an external script for the menu and links to native iMIS actions/popups.","",""
"3","Shared","Sidebar member summary","Avatar, identity, contact details and membership facts","Query Template Display with a compact member-summary template.","",""
"4","Shared","Side navigation","Summary, Profile, Finance, Activity, Cases, Engagement, Membership, Admin","Content Collection Organizer for section content/access, with a custom sidebar presentation if needed; validate native navigation capabilities first.","",""
"5","Shared","Alerts","Resignation pending and overdue payment","Alerts / Notification Sets with custom display HTML and relevant action links.","",""
"6","Summary","Trackers","Member Since, YTD Payments, Adjustments, Next Payment, Open Cases, Payment Method","Progress Tracker for supported numeric metrics; Query Template Display for dates, payment-method text and richer subtitles.","",""
"7","Summary","Contact Summary","Fields and View full profile link","Panel Editor for available contact fields; Query Template Display if the combined field layout requires a custom summary.","",""
"8","Summary","Membership Summary","Membership and payment fields","Query Template Display for the combined membership/payment summary; use Panel Editor where all required fields are available together.","",""
"9","Summary","Open Invoices","Table and View all link","Query Menu (IQA report), using the report style and a native or authored View all link.","",""
"10","Summary","Active Adjustments","Table and View history link","Query Menu (IQA report), using the report style and a native or authored history link.","",""
"11","Summary","Pinned Notes","Note cards and Pin Note action","Query Template Display with a note-card template; connect the pin action to an existing supported workflow.","",""
"12","Summary","Recent Payments","Table, expandable failed-payment attempts and View all link","Query Menu for the payment grid; use Query Template Display plus script if the nested attempt-history design is required and unsupported by the native grid.","",""
"13","Profile","Tabbed buttons","Contact Info / Employment / Demographics","Content Collection Organizer with themed tabs.","",""
"14","Profile > Contact Info","Personal Details","Personal and membership fields","Panel Editor for available fields, with field-summary styling and native editing.","",""
"15","Profile > Contact Info","Contact Details","Shared container for email addresses and phone numbers","Layout/zone group with a shared title; contains the email and phone iParts without separate card decoration.","",""
"16","Profile > Contact Info","Email Addresses","Rows, preferences, validity and add action","Query Template Display for the custom rows; link add/edit/preference actions to supported iMIS editing workflows.","",""
"17","Profile > Contact Info","Phone Numbers","Rows, preferences, validity and add action","Query Template Display for the custom rows; link add/edit/preference actions to supported iMIS editing workflows.","",""
"18","Profile > Contact Info","Address","Residential and postal","Existing native address display/editor iPart if available; otherwise Query Template Display for the display with native edit links.","",""
"19","Profile > Employment","Current Employment","Expandable job cards and Add Job action","Query Template Display with a job-card template and expansion script; native add/edit job workflow.","",""
"20","Profile > Employment","Employment History","Table","Query Menu (IQA report).","",""
"21","Profile > Demographics","Demographics & Attributes","Demographic fields and custom attribute tags","Panel Editor for demographic fields plus Query Template Display for repeating attribute tags, within one grouped zone.","",""
"22","Finance","Trackers","Annual Subs, Total Paid, Overdue, Lifetime Paid","Progress Tracker with metric styling; verify currency formatting and contextual subtitles.","",""
"23","Finance","Payment History","Table and expandable failed-payment attempts","Query Menu for the payment grid; use Query Template Display plus script if nested attempt history needs custom rendering.","",""
"24","Finance","Open Invoices","Table","Query Menu (IQA report).","",""
"25","Finance","Tabbed buttons","Adjustment History / Tax Statements / Payment Methods","Content Collection Organizer with themed tabs.","",""
"26","Finance > Adjustment History","Adjustment History","Table","Query Menu (IQA report).","",""
"27","Finance > Tax Statements","Tax Statements","Table","Query Menu (IQA report) with links to the existing statement view/download workflow.","",""
"28","Finance > Payment Methods","Active Payment Method","Fields and Add Method action","Native payment-method management/display iPart if available; otherwise a masked-data display template linked to the native management page.","",""
"29","Finance > Payment Methods","Method History","Table","Query Menu (IQA report), subject to availability of payment-method history data.","",""
"30","Activity","Tabbed buttons","Notes / Communications / Documents","Content Collection Organizer with themed tabs.","",""
"31","Activity > Notes","Notes","Note cards and Add Note action","Query Template Display with a note-card template and native Add Note popup.","",""
"32","Activity > Communications","Communication Log","Table","Query Menu (IQA report).","",""
"33","Activity > Documents","Attached Documents","Document rows and Attach action","Query Template Display with a document-row template, linked to existing attachment view/download/upload workflows.","",""
"34","Cases","Cases","Table and Raise Case action","Query Menu (IQA report) with a link to the native case-creation page/popup.","",""
"35","Engagement","Tabbed buttons","Events / Roles & CPD / Surveys","Content Collection Organizer with themed tabs.","",""
"36","Engagement > Events","Event Attendance","Table","Query Menu (IQA report).","",""
"37","Engagement > Roles & CPD","Elected Roles & Positions","Table","Query Menu (IQA report).","",""
"38","Engagement > Roles & CPD","Professional Development","Table","Query Menu (IQA report).","",""
"39","Engagement > Surveys","Surveys","Expandable survey cards containing responses","Query Template Display with survey-response templates and expansion script; verify how response data is exposed.","",""
"40","Membership","Membership Details","Membership fields","Panel Editor for available membership fields; Query Template Display for any required derived values.","",""
"41","Membership","Transfer / Change Branch","Branch transfer information and action","Content HTML or Query Template Display for current branch context, linked to the existing transfer workflow.","",""
"42","Membership","Resign Membership","Resignation and suspension actions","Content HTML for the action area, linked to supported resignation/suspension pages or popups.","",""
"43","Admin","Tabbed buttons","Activity Log / Audit Log / Credentials","Content Collection Organizer with themed tabs and native content access controls.","",""
"44","Admin > Activity Log","Staff Interactions","Timeline and Log Interaction action","Query Template Display with a timeline template and native interaction-entry popup.","",""
"45","Admin > Audit Log","Change History / Audit Log","Table","Query Menu (IQA report), subject to audit-data availability and native access controls.","",""
"46","Admin > Credentials","Member Portal Login","Username, password controls, two-factor authentication and last login","Native account/security-management iParts or links to supported administration pages; verify available features. Use native reset flows rather than the prototype password-reveal control.","",""
"47","Admin > Credentials","Login History","Table","Query Menu if an authorised login-history IQA/data source exists; otherwise use the native security-history interface.","",""
"48","Popup","Confirm Resignation","Confirmation dialog","Existing iMIS resignation page/popup and its confirmation workflow; a custom dialog only if the workflow requires it.","",""
